exhibit,kind,description,output_pattern,program,status_note
Figure 1,figure,"Country emissions relative to GDP, with Brazilian Amazon highlighted",results_in_paper/scatter_emission_gdp_log.png,python pysrc/scripts/figure1.py,
Figure 2,figure,Actual versus theoretical carbon recovery fraction,RAs/results_in_paper/gamma_secondary_vegetation.png,Rscript rsrc/analysis/carbon_capture_curves/_masterfile.R,
Figure 3,figure,Initial agricultural area and carbon stock maps,RAs/results_in_paper/map_x2017_1043Sites.png|RAs/results_in_paper/map_z2017_1043Sites.png,Rscript rsrc/analysis/calibration_maps_1043_sites.R,
Figure 4,figure,Carbon sequestration and agricultural productivity maps,RAs/results_in_paper/map_gamma_fit.png|RAs/results_in_paper/map_theta_fit.png,Rscript rsrc/analysis/calibration_maps_1043_sites.R,
Figure 5,figure,Agricultural area and cumulative CO2 capture,RAs/results_in_paper/plot_pred_x_1043_sites_det.png|RAs/results_in_paper/pred_zshare_1043_sites_det.png,python pysrc/scripts/conduction_det.py,
Figure 6,figure,Evolution of transfer payments,RAs/results_in_paper/net_transfers.png,python pysrc/scripts/conduction_det.py,
Figure 7,figure,Agricultural area changes after 30 years,RAs/results_in_paper/map_z0z30GammaTheta_1043Sites_allPrices_det.png,Rscript rsrc/analysis/map_1043_det.R,
Figure 8,figure,Agricultural area evolution over time,RAs/results_in_paper/map_zDecades_1043Sites_pe21.8_det.png,Rscript rsrc/analysis/map_1043_det.R,
Figure 9,figure,Ambiguity-adjusted densities for four sites,RAs/results_in_paper/gamma_distribution_929_b0_xi_1.0.png|RAs/results_in_paper/gamma_distribution_938_b15_xi_1.0.png|RAs/results_in_paper/theta_distribution_1028_b15_xi_1.0.png|RAs/results_in_paper/theta_distribution_985_b0_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures density --xi 1,
Figure 10,figure,Timing histogram at common business-as-usual carbon price,RAs/results_in_paper/decision_histogram_pehmc_6.8_pedet_6.8_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures histograms --xi 1,
Figure 11,figure,Agricultural area under ambiguity neutrality and aversion at common price,RAs/results_in_paper/aggregate_percentage_Z_b0_pehmc_6.8_pedet_6.8_xi_1.0.png,python pysrc/scripts/conduction_hmc.py --figures trajectories --xi 1,
