source,package_locations,source_url,license_or_terms_url,redistribution_status,access_date_or_version,notes
World Bank World Development Indicators and Carbon Pricing Dashboard,data/raw/worldbank/; replication/figure1/input/,https://data.worldbank.org/; https://carbonpricingdashboard.worldbank.org/,https://www.worldbank.org/en/about/legal/terms-of-use-for-datasets,Public source; include exact archived extract in JPE package subject to World Bank terms,Figure 1 World Bank data downloaded March 2021; retain exact raw-file metadata for other extracts,"Used for GDP, emissions, and carbon-price contextual inputs."
Climate Watch / World Resources Institute,replication/figure1/input/; data/raw/worldbank/emission_kuznets/,https://www.climatewatchdata.org/,https://www.wri.org/about/data-lab,Public source; final deposit should confirm current provider terms before publication,Retain exact downloaded extract and metadata in final archive,Used with World Bank inputs for Figure 1 emissions context.
Amazonia 2030 / Fatos da Amazonia 2021,replication/figure1/reference/,https://amazonia2030.org.br/,https://amazonia2030.org.br/,Public source; final deposit should confirm redistribution permission or cite source files as archived reference material,2021 report cited in manuscript,Used for the Brazilian Amazon point in Figure 1.
MapBiomas Collection 5 and related products,data/raw/mapbiomas/,https://mapbiomas.org/,https://mapbiomas.org/,Public source; final deposit should verify MapBiomas terms and cite Collection 5,Collection 5 identified in manuscript; retain raw-file metadata in final archive,"Used for land-use, forest, deforestation, pasture, secondary vegetation, and basin inputs."
ANA PNRH basin layers distributed through MapBiomas,data/raw/mapbiomas/basin/,https://www.gov.br/ana/,https://www.gov.br/ana/,Public administrative/geographic source; final deposit should verify provider terms,ANA 2006 level-2 sub-basins noted in manuscript Appendix C.1,Used for basin random effects in agricultural-productivity calibration.
ESA Biomass Climate Change Initiative,data/raw/esa/above_ground_biomass/,https://climate.esa.int/en/projects/biomass/,https://climate.esa.int/en/data/data-policy/,Public scientific data; include exact archived extract subject to ESA CCI data policy,Biomass_cci v3; 2017 data used in manuscript Appendix A.2,Cite DOI 10.5285/5f331c418e9f4935b8eb1b836f8a91b8.
SEEG emissions and removals data,data/raw/seeg/emission/,https://seeg.eco.br/,https://seeg.eco.br/,Public source; final deposit should verify SEEG terms and citation requirements,Raw filename records 2020.11.05 extract,Used for agricultural net emissions calibration.
IBGE 2017 Agricultural Census and geographies,data/raw/ibge/,https://www.ibge.gov.br/,https://www.ibge.gov.br/en/access-to-information/17783-terms-of-use.html,Public Brazilian statistical/geographic data; final deposit should verify provider terms,2017 Agricultural Census; Tables 6882 and 6911 cited in manuscript,"Used for agricultural census, cattle, municipal boundaries, and biome boundaries."
SEAB-PR / DERAL commodity prices via IPEA,data/raw/seabpr/commodity_prices/; data/raw/ipea/farm_gate_price/,https://www.agricultura.pr.gov.br/; https://www.ipeadata.gov.br/,https://www.ipeadata.gov.br/,Public source; final deposit should verify IPEA and SEAB-PR terms,"Manuscript reports IPEA access date February 22, 2021",Used for monthly deflated cattle prices and farm-gate price inputs.
IPEA distance-to-capital table,data/raw/ipea/distance_to_capital/,https://www.ipeadata.gov.br/,https://www.ipeadata.gov.br/,Public source; final deposit should verify IPEA terms,Raw filename records 2023-08-21 extract,Used as distance-to-state-capital regressor.
WorldClim 2.1,data/raw/worldclim/,https://www.worldclim.org/data/worldclim21.html,https://www.worldclim.org/data/license.html,Public climate data; final deposit should verify WorldClim terms,WorldClim 2.1; 2.5-minute historical rasters,"Cite Fick and Hijmans 2017, DOI 10.1002/joc.5086."
FGV IBRE deflator series,data/raw/fgv/deflator_ipa/,https://portalibre.fgv.br/,https://portalibre.fgv.br/,Public/third-party economic series; final deposit should verify provider terms,Retain exact raw-file metadata in final archive,Used to prepare real price variables.
