path_pattern,include_in_jpe_archive,role,reason_or_note
README.md,yes,Root documentation,"Unique README entry point required by JPE; contains workflow, DAS, runtime, output mapping, and data references."
LICENSE.txt,yes,License and rights statement,Specifies code license and data/output rights notes.
run.sh; setup_env.sh; pyproject.toml; renv.lock,yes,Environment and driver files,Needed to recreate the Python/R environment and execute the workflow.
pysrc/; rsrc/; stan_model/,yes,Source code,"Data cleaning, estimation, optimization, sampling, maps, post-processing, and Stan model code."
replication/REPLICATION_DOC.md,yes,Companion replication notes,Concise staged workflow notes; root README remains authoritative.
replication/figure1/FIGURE1_DOCUMENTATION.md,yes,Figure 1 companion notes,Not a README; documents repo-internal Figure 1 inputs and generated outputs.
replication/figure1/input/; replication/figure1/documentation/; replication/figure1/reference/,yes,Figure 1 inputs and metadata,Repo-internal World Bank and reference inputs used by pysrc/scripts/figure1.py.
data/raw/,yes,Raw data,Exact archived raw extracts used by authors; include in final JPE archive unless a provider-specific exemption is approved.
data/processed/; data/clean/; data/calibration/,yes,Generated analysis inputs,Generated from raw data and used by Python/R analysis scripts; included to support feasible reproducibility checks.
data/codebook.csv,yes,Data inventory,Machine-readable source inventory and open-format companion notes.
data/source_permissions.csv,yes,Source permission audit,"Source-by-source access, terms, redistribution status, and final-review notes."
data/DATA_DOCUMENTATION.md,yes,Data companion documentation,Detailed data inventory companion; root README remains authoritative.
replication/derived/,yes,Generated replication data,"Carbon prices, paper-number audit tables, transition probabilities, and other derived CSVs."
output/,yes,Generated model outputs and intermediate results,Required for feasible reproducibility checks of computationally intensive HMC/MPC outputs.
plots/,yes,Generated figures,R/Python figure outputs used by paper-number and results-in-paper post-processing.
results_in_paper/,yes,Paper exhibit extracts,Final tables and figures copied/extracted for manuscript audit.
replication/results_in_paper_*_manifest.csv; replication/exhibit_manifest.csv; replication/paper_numbers*.csv,yes,Audit manifests,"Maps generated outputs to manuscript tables, figures, and in-text numbers."
job-outs/stage_deterministic/shadow_prices_det/; job-outs/stage_hmc/shadow_prices_hmc/; job-outs/stage_hmc/relative_entropy/; job-outs/stage_mpc/*/,selected,Audit logs,"Include logs used by derive-prices, transition-probability derivation, and paper-number audits; exclude failed scratch logs unless needed to document an included result."
.git/; .github/; .DS_Store,no,Version-control and OS metadata,Not needed for replication package.
.venv/; .venv_server/; renv/library/; CmdStan build caches,no,Local environments and installed dependencies,Regenerated by setup instructions; excluding avoids platform-specific binaries and large files.
__pycache__/; .pytest_cache/; .Rhistory; temporary scratch folders,no,Caches and temporary files,Not needed for replication and may contain machine-specific state.
aux_input/,no,Obsolete output folder name,Superseded by results_in_paper/. Do not include if present from an older checkout.
